title,director,year,country,genre,rating,rating_people,quote
源代码,邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.6,892697,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险,8.7,592947,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
可可西里,陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.9,330266,坚硬的信仰。
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.6,658520,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
城市之光,Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,162659,
芙蓉镇,谢晋 Jin Xie,1987,中国大陆,剧情 爱情,9.3,170560,
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐,8.6,661633,
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,821751,黑暗之美。
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,日本,剧情 爱情,8.6,754493,
青蛇,徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,568898,
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,美国,剧情 爱情 歌舞,8.4,1038065,
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.8,367519,
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.5,1026303,黑小鸭速效美白记。
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,英国 美国,奇幻 冒险,8.6,657587,最忠于原著的一部。
雨人,巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,429776,
白日梦想家,本·斯蒂勒 Ben Stiller,2013,美国 英国,剧情 喜剧 冒险,8.6,589983,
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻,8.7,481906,
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.5,783989,
新龙门客栈,李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,484249,
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.7,526232,昆汀同学越来越变态了，比北野武还杜琪峰。
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,281540,
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,日本,动画 奇幻 冒险,8.6,546734,
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.5,722468,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
罗生门,黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑,8.8,342340,
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.8,330229,
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,中国大陆 中国香港 中国台湾,剧情,8.8,336630,
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.6,647030,小成本大魅力。
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,615037,我们都有权利不与自己的过去和解。
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,英国 美国,奇幻 冒险,8.5,656166,
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003,美国,动作 科幻,8.7,436978,
火星救援,雷德利·斯科特 Ridley Scott,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,796482,
萤火虫之墓,高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,426817,
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,583315,世界不完美，爱会有奇迹。
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,美国 德国,剧情 犯罪,8.7,399008,做一颗让别人需要你的棋子。
步履不停,是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,307391,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
千年女优,今敏 Satoshi Kon,2001,日本,动画 剧情 爱情,8.8,301225,
血钻,爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,407537,每个美丽事物背后都是滴血的现实。
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.7,381473,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,2018,美国,动作 科幻 动画 冒险,8.6,726161,
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,299269,
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,389439,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
弱点,约翰·李·汉考克 John Lee Hancock,2009,美国,剧情 家庭 传记 运动,8.7,341535,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
谍影重重,道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,464648,
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,美国,剧情 传记 历史,8.9,251141,
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,美国,喜剧 动画 奇幻 歌舞,8.5,765236,
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.6,476760,
哪吒之魔童降世,饺子 Yu Yang,2019,中国大陆,剧情 喜剧 动画 奇幻,8.4,1988218,
